ID,Status,Urgency,Request time,Request user,Due date,SR Type,Title,Priority,Category,Sub-category,3rd level category,Assigned to
522357,Closed,Low,4/29/2026 10:52,Abdullahi Chukwu,5/1/2026 11:52,Incident,ip phone offline ,Minor,Information Technology,Workspace Enablement,Other Incident,IHSTOWERS\law.odi
522242,Closed,Low,4/29/2026 8:34,Abdullahi Mohammed,5/1/2026 9:34,Incident,DESKPHONE NOT REGISTERING,Minor,Information Technology,Workspace Enablement,Other Request,IHSTOWERS\musa.mora
522169,Closed,Low,4/28/2026 20:14,Adaobi Perez,4/30/2026 21:14,Incident,Deskphone Registration Issue in NOC,Minor,Information Technology,Connectivity Services,Limited Connectivity,IHSTOWERS\law.odi
521993,Closed,Low,4/28/2026 13:00,Adaobi Taylor,4/30/2026 14:00,Incident,MPLS IS DOWN,Minor,Information Technology,Connectivity Services,Network Downtime,IHSTOWERS\akapo.leye
520709,Closed,Low,4/22/2026 13:56,Amelia Johnson,4/24/2026 14:56,Incident,Monitoring tool (Elastic tool) not connecting to the internet,Minor,Information Technology,Business Applications,Application not available,IHSTOWERS\akapo.leye
520708,Closed,Low,4/22/2026 13:55,Amelia Lee,4/24/2026 14:55,Incident,ELASTIC DOWNTIME,Minor,Information Technology,Business Applications,Application Downtime,IHSTOWERS\akapo.leye
520705,Closed,Low,4/22/2026 13:41,Amelia Scott,4/24/2026 14:41,Incident,MTN Imanager Downtime ,Minor,Information Technology,Business Applications,Application Downtime,IHSTOWERS\akapo.leye
520704,Closed,Low,4/22/2026 13:41,Amelia Williams,4/30/2026 7:41,Incident,Imanager Downtime,Minor,Information Technology,Business Applications,Application Downtime,IHSTOWERS\akapo.leye
519799,Closed,Low,4/17/2026 12:19,Amina Garcia,4/19/2026 13:19,Incident,Unable to connect to IHS Global Wi‑Fi,Minor,Information Technology,Workspace Enablement,Connection Issue,IHSTOWERS\akapo.leye
515717,Closed,Low,3/30/2026 10:46,Amina Ibrahim,4/1/2026 11:46,Incident,Not able to connect to Managed Engine via VPN ,Minor,Information Technology,Connectivity Services,VPN Connectivity error,IHSTOWERS\bakar.ali
515555,Closed,Low,3/29/2026 0:25,Amina Perez,3/31/2026 1:25,Incident,Internet DownTime,Minor,Information Technology,Connectivity Services,Network Downtime,IHSTOWERS\musa.mora
515546,Closed,Low,3/28/2026 13:03,Andrew Danjuma,4/3/2026 12:00,Incident,RDS not cpnnecting after authentication,Minor,Information Technology,Business Applications,Application Defect,IHSTOWERS\akapo.leye
514923,Closed,Medium,3/25/2026 9:33,Andrew Oladipo,3/26/2026 12:33,Incident,Network Outage,Moderate,Information Technology,Connectivity Services,Network Downtime,IHSTOWERS\bakar.ali
513138,Closed,Low,3/17/2026 6:42,Anthony Abubakar,4/3/2026 9:44,Incident,SBC User not able to access Inala/U2020/NetAct/ENM despite connecting to VPN,Minor,Information Technology,Business Applications,Process Incident,IHSTOWERS\bakar.ali
513047,Closed,Low,3/16/2026 13:44,Anthony Brown,3/18/2026 14:44,Incident,WebSam not accessible outside IHS network,Minor,Information Technology,Business Applications,Other Incident,IHSTOWERS\akapo.leye
512992,Closed,Low,3/16/2026 12:36,Anthony Danjuma,3/18/2026 13:36,Incident,Maximum Login Limit,Minor,Information Technology,Connectivity Services,Maximum Login Limit,IHSTOWERS\musa.mora
512821,Closed,Low,3/16/2026 8:22,Anthony Garcia,3/18/2026 9:22,Incident,UK Users are unable to connect to IHS Global SSID.,Minor,Information Technology,Connectivity Services,Other Incident,IHSTOWERS\law.odi
512553,Closed,Low,3/12/2026 14:26,Anthony Miller,3/20/2026 8:26,Incident,SNOW and Whatsapp Error,Minor,Information Technology,Connectivity Services,Limited Connectivity,IHSTOWERS\musa.mora
511758,Closed,Low,3/10/2026 9:56,Anthony Yakubu,3/12/2026 10:56,Incident,Instability within IAM platform,Minor,Information Technology,Connectivity Services,Network Fluctuation,IHSTOWERS\akapo.leye
511320,Closed,Low,3/8/2026 23:56,Ava Aliyu,3/11/2026 0:56,Incident,MTN Imanager unreachable in Abuja,Minor,Information Technology,Business Applications,Application Downtime,IHSTOWERS\akapo.leye
511319,Closed,Low,3/8/2026 23:48,Ava Baker,3/11/2026 0:48,Incident,ServiceNow unreachable from NOC Network in Abuja,Minor,Information Technology,Business Applications,Application Downtime,IHSTOWERS\akapo.leye
510343,Closed,Medium,3/4/2026 13:54,Ava Balogun,3/5/2026 2:24,Incident,Difficulties connecting to MS Outlook,Moderate,Information Technology,Connectivity Services,Other Incident,IHSTOWERS\musa.mora
509489,Closed,Low,3/2/2026 12:02,Ava Miller,3/4/2026 13:02,Incident,Connectivity Issue on Sophos RED 60,Minor,Information Technology,Connectivity Services,Limited Connectivity,IHSTOWERS\bakar.ali
509312,Closed,Low,3/2/2026 9:59,Benjamin Brown,3/4/2026 10:59,Incident,IHS Global WiFi  UK Service Outage,Minor,Information Technology,Connectivity Services,Network Downtime,IHSTOWERS\law.odi
505468,Closed,Low,2/12/2026 17:20,Benjamin Jones,2/18/2026 17:20,Incident,Whitelist leafmap.org website in firewall,Minor,Information Technology,IT Security,Users access restrictions on websites or applications.,IHSTOWERS\caio.blanes
505323,Closed,Low,2/12/2026 10:52,Bola Abubakar,2/14/2026 11:52,Incident,User Unable to Access ENM & NETACT when connected to VPN,Minor,Information Technology,Business Applications,Other Incident,IHSTOWERS\bakar.ali
504677,Closed,Low,2/10/2026 9:28,Bola Lewis,2/12/2026 10:28,Incident,Remote connection - Modificaiton Hoast name,Minor,Information Technology,Connectivity Services,VPN Connectivity error,IHSTOWERS\bakar.ali
503250,Closed,High,2/3/2026 14:49,Bola Mohammed,2/5/2026 8:49,Incident,IHS GLOBAL IS UNREACHABLE,Moderate,Information Technology,Connectivity Services,Limited Connectivity,IHSTOWERS\law.odi
502756,Closed,Medium,2/1/2026 19:59,Bola Young,2/3/2026 20:59,Incident,PRTG Monitoring tool is down,Minor,Information Technology,Connectivity Services,PRTG Support,IHSTOWERS\akapo.leye
